,station_id,name,lat,lon,address,nearby_distance,capacity,_ride_code_support,is_charging_station,rent_key,rent_phone,rent_transit_card,rent_credit_card
15,7021,Bay St / Albert St,43.653264,-79.382458,Bay St / Albert St,500.0,35,True,False,True,True,True,True
16,7022,Simcoe St / Queen St W,43.65049,-79.3873,Simcoe St / Queen St W,500.0,39,True,False,True,True,True,True
17,7023,College St / Borden St,43.6571,-79.4056,College St / Borden St,500.0,11,True,False,True,True,True,True
18,7024,Dundonald St / Church St,43.66663,-79.38148,Dundonald St / Church St,500.0,36,True,False,True,True,True,True
19,7025,Ted Rogers Way / Bloor St E,43.671293,-79.380471,Ted Rogers Way / Bloor St E,500.0,23,True,False,True,True,True,True
20,7026,Bay St / St. Joseph St,43.665527,-79.387499,Bay St / St. Joseph St,500.0,15,True,False,True,True,True,True
21,7027,Beverley  St / Dundas St W,43.652823,-79.393388,Beverley  St / Dundas St W,500.0,31,True,False,True,True,True,True
22,7028,Gould St / Mutual St,43.6582,-79.3768,Gould St / Mutual St,500.0,29,True,False,True,True,True,True
23,7029,Bay St / Bloor St W (East Side),43.66943,-79.38915,1199 Bay St,500.0,15,True,False,True,True,True,True
24,7030,Bay St / Wellesley St W,43.664088,-79.387095,Bay St / Wellesley St W,1609.34,51,True,False,True,True,True,True
25,7031,Jarvis St / Isabella St,43.668991,-79.379385,Jarvis St / Isabella St,500.0,23,True,False,True,True,True,True
26,7032,Augusta Ave / Dundas St W,43.652473,-79.401456,Augusta Ave / Dundas St W,500.0,15,True,False,True,True,True,True
27,7033,Union Station,43.645609,-79.380386,Union Station,500.0,43,True,False,True,True,True,True
28,7034,Church St / Bloor St E,43.671389,-79.382919,Church St / Bloor St E,500.0,15,True,False,True,True,True,True
29,7035,Queen St W / Ossington Ave,43.643975,-79.419576,Queen St W / Ossington Ave,500.0,23,True,False,True,True,True,True
30,7036,Trinity St /Front St E,43.651318,-79.36023,Trinity St / Front St E,500.0,19,True,False,True,True,True,True
31,7037,Bathurst St / Dundas St W,43.6519501,-79.4060978,Bathurst St / Dundas St W,500.0,27,True,False,True,True,True,True
32,7038,Dundas St W / Yonge St,43.656094,-79.381484,Dundas St W / Yonge St,500.0,31,True,False,True,True,True,True
33,7039,Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,Simcoe St / Michael Sweet Ave,500.0,19,True,False,True,True,True,True
34,7040,Euclid Ave / Bloor St W,43.664467,-79.414783,Euclid Ave / Bloor St W,500.0,19,True,False,True,True,True,True
35,7041,Edward St / Yonge St,43.656729,-79.382736,Edward St / Yonge St,500.0,23,True,False,True,True,True,True
36,7042,Sherbourne St / Wellesley St E,43.6673,-79.374,Sherbourne St / Wellesley St E,500.0,31,True,False,True,True,True,True
37,7043,Queens Quay W / Lower Simcoe St,43.63951,-79.383717,Queens Quay W / Lower Simcoe St,500.0,19,True,False,True,True,True,True
38,7044,Church St / Alexander St,43.663722,-79.380288,Church St / Alexander St,500.0,15,True,False,True,True,True,True
39,7045,Bond St / Queen St E,43.653236,-79.376716,Bond St / Queen St E,500.0,25,True,False,True,True,True,True
40,7046,Niagara St / Richmond St W,43.64534,-79.409597,Niagara St / Richmond St W,500.0,26,True,False,True,True,True,True
41,7047,University Ave / Gerrard St W (East Side),43.657763,-79.389165,University Ave / Gerrard St W,500.0,25,True,False,True,True,True,True
42,7048,Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,Front St W / Yonge St (Hockey Hall of Fame),500.0,47,True,False,True,True,True,True
43,7050,Richmond St E / Jarvis St Green P,43.652634,-79.374222,Richmond St E / Jarvis St Green P,500.0,16,True,True,True,True,True,True
44,7052,Wellington St W / Bay St,43.647259,-79.379878,Wellington St W / Bay St,500.0,27,True,False,True,True,True,True
45,7053,Metro Hall Plaza,43.645859,-79.38783,Metro Hall Plaza,500.0,27,True,False,True,True,True,True
46,7054,Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,Navy Wharf Ct. / Bremner Blvd.,500.0,11,True,False,True,True,True,True
47,7055,Jarvis St / Carlton St,43.66207,-79.37617,Jarvis St / Carlton St,500.0,15,True,False,True,True,True,True
48,7056,Parliament St / Gerrard St,43.662132,-79.3656796,Parliament St / Gerrard St,500.0,23,True,False,True,True,True,True
49,7057,Simcoe St / Wellington St W South,43.6458569,-79.3853654,Simcoe St / Wellington St 1,500.0,27,True,False,True,True,True,True
50,7058,Huron St / Harbord St,43.6637,-79.400053,Huron/ Harbord St,500.0,19,True,False,True,True,True,True
