station_id,name,lat,lon,address,capacity,ward_id,first_use
7192,Harbord St / Clinton St,43.660414,-79.415646,Harbord St / Clinton St,15,11,2018-01-02
7193,Queen St W / Gladstone Ave,43.6430555555556,-79.4275,Queen St W / Gladstone Ave,23,9,2018-01-01
7194,Mortimer Ave / Coxwell Ave,43.690564,-79.326319,Mortimer Ave / Coxwell Ave,23,19,2018-01-08
7195,Ulster St / Bathurst St,43.66,-79.4088888888889,Ulster St / Bathurst St,11,11,2018-01-01
7196,Roxton Rd / Harbord St,43.65905,-79.422988,Roxton Rd / Harbord St,11,11,2018-01-01
7197,Queen St W / Dovercourt Rd,43.6438602,-79.4227573,Queen St W / Dovercourt Rd,11,9,2018-01-01
7198,Queen St W / Cowan Ave,43.6409,-79.432837,Queen St W / Cowan Ave,19,4,2018-01-01
7199,College St / Markham St,43.6563888888889,-79.4091666666667,College St / Markham St,19,11,2018-01-01
7202,Queen St W / Bay St (City Hall),43.6517925,-79.38269509999999,Queen St W / York St (City Hall),23,10,2018-01-01
7203,Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,Bathurst St/Queens Quay(Billy Bishop Airport),35,10,2018-01-01
7204,College St / Crawford St,43.655,-79.418889,College St / Crawford St,19,11,2018-01-01
7205,Rusholme Park Cres / College St,43.65277778,-79.42972222,Rusholme Park Cres / College St,15,9,2018-01-01
7206,Claremont St / Dundas St W,43.651281,-79.411717,Claremont St / Dundas St W,13,11,2018-01-01
7207,Dundas St W / Crawford St,43.649722,-79.416944,Dundas St W / Crawford St,23,10,2018-01-01
7208,80 Clinton St,43.656296,-79.414663,80 Clinton St (North of College),15,11,2018-01-01
7209,Ossington Ave / Harrison St,43.65111111111111,-79.4213888888889,Ossington Ave / Harrison St,19,11,2018-01-01
7210,Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,Mary McCormick Rec Centre (Sheridan Ave),15,9,2018-01-02
7211,Fort York Blvd / Garrison Rd,43.637381,-79.406112,Fort York Blvd / Garrison Rd,15,10,2018-01-01
7216,Wellington St W / Stafford St,43.6409957,-79.40966630000001,Wellington St W / Stafford St,23,10,2018-01-02
7217,Soho St / Queen St W,43.6494896,-79.393535,Soho St. / Queen St W,7,10,2019-03-20
7220,Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083,Lake Shore Blvd W / Ellis Ave,19,4,2018-01-01
7221,High Park Subway Station,43.6543604,-79.4655296,High Park Subway Station,11,4,2018-01-04
7223,Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,Parkside Dr / Bloor St W,12,4,2018-01-08
7225,Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763,Lake Shore Blvd W / Windermere Ave,19,4,2018-01-04
7226,Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966,Lake Shore Blvd W / The Boulevard Club,19,4,2018-01-01
7227,Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,Martin Goodman Trail (Marilyn Bell Park),31,4,2018-01-02
7228,Queen St W / Roncesvalles Ave,43.6372958,-79.4423237,Queen St W / Roncesvalles Ave,19,4,2018-01-03
7229,Dundas St W / Roncesvalles Green P - SMART,43.6534268,-79.4512787,Dundas St W / Roncesvalles Green P,12,4,2018-01-03
7230,Garden Ave / Roncesvalles Ave,43.643769,-79.447915,Garden Ave / Roncesvalles Ave,18,4,2018-01-02
7231,Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,Wright Ave / Sorauren St (Sorauren Park),18,4,2018-01-02
7232,Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,Queen St W / Fuller Ave,16,4,2018-01-02
7233,King / Cowan Ave - SMART,43.637922,-79.431734,King St W / Cowan Ave,16,4,2018-01-01
7234,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,Roncesvalles Ave / Marmaduke St,19,4,2018-01-05
7235,Bay St / College St (West Side) - SMART,43.660087,-79.385655,Bay St / College St (West Side),12,11,2018-01-01
7236,Thompson St / Broadview Ave - SMART,43.659471,-79.350325,Thompson St / Broadview Ave,12,14,2018-01-01
7237,Ward St / Wallace Ave,43.662857,-79.44618,Ward Ave / Wallace Ave,15,9,2018-01-01
7238,Sorauren Ave / Geoffrey St - SMART,43.649172,-79.4445087,Sorauren St / Geoffrey St (Sorauren Park),16,4,2018-01-02
7239,Bloor St W / Manning Ave - SMART,43.663912,-79.416124,Bloor St W / Manning Ave,20,11,2018-01-01
7240,Bloor St W / Shaw Ave - SMART,43.662403,-79.423098,Bloor St W / Shaw Ave,34,11,2018-01-01
7241,519 Church St,43.666874,-79.381155,519 Church St,12,13,2018-01-01
7242,Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,Lake Shore Blvd W / Ontario Dr (Ontario Place),35,10,2018-01-01
7243,Exhibition GO Station,43.6352007,-79.4187711,Exhibition GO Station,14,10,2018-01-07
